name,cnt,frequency,allfrequency,diff
Frost Elemental,55,0.20,0.20,+0.00
Frostwolf Grunt,7,0.03,0.02,+0.01
Frostwolf Warlord,64,0.23,0.19,+0.04
Frothing Berserker,190,0.69,0.55,+0.14
Gadgetzan Auctioneer,24,0.09,0.08,+0.01
Gnomish Inventor,97,0.35,0.28,+0.07
Goldshire Footman,1,0.00,0.01,-0.01
Gorehowl,97,0.35,0.29,+0.06
Grommash Hellscream,15,0.05,0.04,+0.01
Gruul,2,0.01,0.01,+0.00
Gurubashi Berserker,43,0.16,0.14,+0.02
Harrison Jones,1,0.00,0.00,+0.00
Harvest Golem,145,0.53,0.49,+0.04
Haunted Creeper,33,0.12,0.07,+0.05
Heroic Strike,121,0.44,0.53,-0.09
Hogger,4,0.01,0.01,+0.00
Illidan Stormrage,2,0.01,0.01,+0.00
Imp Master,47,0.17,0.18,-0.01
Injured Blademaster,41,0.15,0.17,-0.02
Inner Rage,23,0.08,0.14,-0.06
Ironbeak Owl,19,0.07,0.11,-0.04
Ironforge Rifleman,10,0.04,0.07,-0.03
Ironfur Grizzly,31,0.11,0.14,-0.03
Jungle Panther,40,0.14,0.18,-0.04
Kel'Thuzad,2,0.01,0.00,+0.01
Knife Juggler,102,0.37,0.23,+0.14
Kobold Geomancer,12,0.04,0.05,-0.01
Kor'kron Elite,313,1.13,0.97,+0.16
Leper Gnome,13,0.05,0.07,-0.02
Lightwarden,1,0.00,0.00,+0.00
Loot Hoarder,79,0.29,0.28,+0.01
Lord of the Arena,13,0.05,0.08,-0.03
Mad Bomber,125,0.45,0.34,+0.11
Mana Addict,4,0.01,0.01,+0.00
Mana Wraith,5,0.02,0.02,+0.00
Master Swordsmith,14,0.05,0.06,-0.01
Mind Control Tech,42,0.15,0.19,-0.04
Mogu'shan Warden,6,0.02,0.04,-0.02
Molten Giant,22,0.08,0.11,-0.03
Mortal Strike,61,0.22,0.25,-0.03
Mountain Giant,3,0.01,0.01,+0.00
Murloc Tidehunter,13,0.05,0.03,+0.02
Murloc Warleader,6,0.02,0.01,+0.01
Nat Pagle,1,0.00,0.00,+0.00
Nerub'ar Weblord,2,0.01,0.01,+0.00
Nerubian Egg,5,0.02,0.02,+0.00
Nightblade,5,0.02,0.04,-0.02
Novice Engineer,23,0.08,0.08,+0.00
Nozdormu,1,0.00,0.00,+0.00
Oasis Snapjaw,14,0.05,0.09,-0.04
Ogre Magi,17,0.06,0.10,-0.04
Onyxia,3,0.01,0.01,+0.00
Pint-Sized Summoner,8,0.03,0.05,-0.02
Priestess of Elune,8,0.03,0.05,-0.02
Questing Adventurer,19,0.07,0.08,-0.01
Raging Worgen,85,0.31,0.35,-0.04
Ragnaros the Firelord,11,0.04,0.03,+0.01
Raid Leader,9,0.03,0.03,+0.00
Rampage,28,0.10,0.13,-0.03
Ravenholdt Assassin,19,0.07,0.09,-0.02
Razorfen Hunter,41,0.15,0.13,+0.02
Reckless Rocketeer,23,0.08,0.11,-0.03
River Crocolisk,33,0.12,0.10,+0.02
Scarlet Crusader,111,0.40,0.39,+0.01
Sea Giant,38,0.14,0.14,+0.00
Secretkeeper,2,0.01,0.00,+0.01
Sen'jin Shieldmasta,110,0.40,0.42,-0.02
Shade of Naxxramas,6,0.02,0.02,+0.00
Shattered Sun Cleric,99,0.36,0.43,-0.07
Shield Block,76,0.28,0.32,-0.04
Shield Slam,8,0.03,0.05,-0.02
Shieldbearer,2,0.01,0.01,+0.00
Silver Hand Knight,107,0.39,0.37,+0.02
Silverback Patriarch,2,0.01,0.01,+0.00
Silvermoon Guardian,16,0.06,0.09,-0.03
Slam,184,0.67,0.67,+0.00
Sludge Belcher,23,0.08,0.08,+0.00
Southsea Captain,5,0.02,0.01,+0.01
Southsea Deckhand,10,0.04,0.04,+0.00
Spectral Knight,32,0.12,0.12,+0.00
Spellbreaker,70,0.25,0.32,-0.07
Spiteful Smith,86,0.31,0.31,+0.00
Stampeding Kodo,81,0.29,0.23,+0.06
Stoneskin Gargoyle,3,0.01,0.01,+0.00
Stonetusk Boar,2,0.01,0.01,+0.00
Stormpike Commando,48,0.17,0.13,+0.04
Stormwind Champion,91,0.33,0.31,+0.02
Stormwind Knight,46,0.17,0.17,+0.00
Stranglethorn Tiger,68,0.25,0.25,+0.00
Sunfury Protector,28,0.10,0.11,-0.01
Sunwalker,68,0.25,0.25,+0.00
Sylvanas Windrunner,3,0.01,0.02,-0.01
Tauren Warrior,3,0.01,0.04,-0.03
The Black Knight,9,0.03,0.02,+0.01
Thrallmar Farseer,4,0.01,0.03,-0.02
Twilight Drake,54,0.20,0.20,+0.00
Undertaker,4,0.01,0.01,+0.00
Unstable Ghoul,16,0.06,0.06,+0.00
Upgrade!,50,0.18,0.20,-0.02
Venture Co. Mercenary,78,0.28,0.37,-0.09
Violet Teacher,43,0.16,0.14,+0.02
Voodoo Doctor,5,0.02,0.02,+0.00
Wailing Soul,6,0.02,0.01,+0.01
War Golem,25,0.09,0.11,-0.02
Warsong Commander,146,0.53,0.56,-0.03
Whirlwind,32,0.12,0.16,-0.04
Wild Pyromancer,20,0.07,0.13,-0.06
Windfury Harpy,4,0.01,0.04,-0.03
Wolfrider,35,0.13,0.14,-0.01
Worgen Infiltrator,57,0.21,0.25,-0.04
Young Priestess,8,0.03,0.03,+0.00
Youthful Brewmaster,59,0.21,0.27,-0.06
Ysera,11,0.04,0.02,+0.02
Zombie Chow,20,0.07,0.06,+0.01
