name,cnt,frequency,allfrequency,diff
Demolisher,136,0.08,0.10,-0.02
Oasis Snapjaw,135,0.08,0.08,+0.00
Haunted Creeper,133,0.08,0.08,+0.00
Lord of the Arena,126,0.07,0.09,-0.02
Ravenholdt Assassin,125,0.07,0.09,-0.02
Reckless Rocketeer,123,0.07,0.09,-0.02
Dragonling Mechanic,118,0.07,0.08,-0.01
Mad Scientist,109,0.06,0.05,+0.01
Pint-Sized Summoner,109,0.06,0.06,+0.00
Questing Adventurer,107,0.06,0.08,-0.02
Ironforge Rifleman,105,0.06,0.07,-0.01
Leper Gnome,105,0.06,0.07,-0.01
Zombie Chow,105,0.06,0.05,+0.01
Molten Giant,102,0.06,0.06,+0.00
Arcane Golem,102,0.06,0.05,+0.01
Crazed Alchemist,99,0.06,0.07,-0.01
Tauren Warrior,94,0.05,0.07,-0.02
Murloc Tidehunter,91,0.05,0.04,+0.01
Elven Archer,87,0.05,0.05,+0.00
Spellbender,86,0.05,0.06,-0.01
Frost Nova,85,0.05,0.07,-0.02
Ice Lance,81,0.05,0.08,-0.03
Booty Bay Bodyguard,78,0.04,0.06,-0.02
Ethereal Arcanist,74,0.04,0.06,-0.02
Ragnaros the Firelord,71,0.04,0.03,+0.01
Ice Barrier,70,0.04,0.07,-0.03
Nightblade,67,0.04,0.04,+0.00
Priestess of Elune,65,0.04,0.05,-0.01
Archmage Antonidas,65,0.04,0.03,+0.01
Ancient Mage,65,0.04,0.05,-0.01
Unstable Ghoul,61,0.03,0.05,-0.02
Master Swordsmith,58,0.03,0.04,-0.01
Young Priestess,56,0.03,0.03,+0.00
Ysera,49,0.03,0.03,+0.00
Sylvanas Windrunner,47,0.03,0.02,+0.01
Frostwolf Grunt,45,0.03,0.03,+0.00
Windfury Harpy,44,0.03,0.04,-0.01
Onyxia,44,0.03,0.01,+0.02
Dalaran Mage,44,0.03,0.05,-0.02
Mogu'shan Warden,43,0.02,0.03,-0.01
The Black Knight,40,0.02,0.02,+0.00
Raid Leader,40,0.02,0.03,-0.01
Cairne Bloodhoof,38,0.02,0.02,+0.00
Thrallmar Farseer,36,0.02,0.02,+0.00
Southsea Captain,35,0.02,0.02,+0.00
Deathlord,35,0.02,0.03,-0.01
Mana Wraith,34,0.02,0.02,+0.00
Voodoo Doctor,32,0.02,0.02,+0.00
Ice Block,29,0.02,0.02,+0.00
Core Hound,28,0.02,0.02,+0.00
Nerub'ar Weblord,28,0.02,0.02,+0.00
Deathwing,26,0.01,0.01,+0.00
Murloc Warleader,24,0.01,0.01,+0.00
Hogger,23,0.01,0.01,+0.00
Nerubian Egg,23,0.01,0.02,-0.01
Mana Addict,22,0.01,0.02,-0.01
Shade of Naxxramas,21,0.01,0.02,-0.01
Illidan Stormrage,18,0.01,0.01,+0.00
Shieldbearer,17,0.01,0.01,+0.00
Echoing Ooze,17,0.01,0.01,+0.00
Bloodsail Corsair,17,0.01,0.01,+0.00
Baron Geddon,16,0.01,0.01,+0.00
Mountain Giant,16,0.01,0.02,-0.01
Silverback Patriarch,15,0.01,0.02,-0.01
Leeroy Jenkins,15,0.01,0.01,+0.00
Ancient Watcher,15,0.01,0.01,+0.00
Gruul,14,0.01,0.01,+0.00
Wailing Soul,14,0.01,0.01,+0.00
Undertaker,13,0.01,0.01,+0.00
Doomsayer,12,0.01,0.01,+0.00
Secretkeeper,12,0.01,0.01,+0.00
Alexstrasza,12,0.01,0.01,+0.00
Malygos,11,0.01,0.01,+0.00
Murloc Tidecaller,10,0.01,0.00,+0.01
Dancing Swords,10,0.01,0.01,+0.00
Coldlight Oracle,10,0.01,0.01,+0.00
Goldshire Footman,9,0.01,0.01,+0.00
Lightwarden,9,0.01,0.00,+0.01
Stonetusk Boar,9,0.01,0.01,+0.00
Southsea Deckhand,7,0.00,0.00,+0.00
The Beast,6,0.00,0.00,+0.00
Dread Corsair,5,0.00,0.01,-0.01
Bloodmage Thalnos,5,0.00,0.01,-0.01
Harrison Jones,5,0.00,0.01,-0.01
Coldlight Seer,4,0.00,0.00,+0.00
King Mukla,4,0.00,0.00,+0.00
Feugen,3,0.00,0.00,+0.00
Alarm-o-Bot,3,0.00,0.01,-0.01
Stoneskin Gargoyle,3,0.00,0.01,-0.01
Kel'Thuzad,3,0.00,0.00,+0.00
Hungry Crab,3,0.00,0.00,+0.00
Millhouse Manastorm,3,0.00,0.00,+0.00
Tinkmaster Overspark,3,0.00,0.00,+0.00
Loatheb,3,0.00,0.00,+0.00
Nat Pagle,2,0.00,0.00,+0.00
Nozdormu,1,0.00,0.00,+0.00
Captain Greenskin,1,0.00,0.00,+0.00
Maexxna,1,0.00,0.00,+0.00
Murloc Raider,1,0.00,0.00,+0.00
Grimscale Oracle,1,0.00,0.00,+0.00
