playerClass,cost,flavor,rarity,set,collectible,playRequirements/REQ_TARGET_TO_PLAY,id,text,artist,howToEarnGolden,type,name,howToEarn,dust/0,dust/1,dust/2,dust/3,attack,race,health,mechanics/0,playRequirements/REQ_MINION_TARGET,spellDamage,mechanics/1,faction,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/0,entourage/1,entourage/2,entourage/3,entourage/4,entourage/5,entourage/6,targetingArrowText,textInPlay,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_ENEMY_TARGET,durability,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_MUST_TARGET_TAUNTER,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,playRequirements/REQ_HERO_TARGET,entourage/7,playRequirements/REQ_LEGENDARY_TARGET,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
,6,"Drakonids were created to have all the bad parts of a dragon in the form of a humaniod. But, like, why?",COMMON,BRM,true,,BRM_024,"<b>Battlecry:</b> If your opponent has 15 or less Health, gain +3/+3.",Slawomir Maniak,Can be crafted after defeating Atramedes in the Hidden Laboratory.,MINION,Drakonid Crusher,Unlocked by defeating Atramedes in the Hidden Laboratory.,,,,,6,DRAGON,6,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,3,Don't leave them out in the rain. In Un'Goro Crater there is a whole colony of rust-tooth leapers.,RARE,GVG,true,,GVG_048,<b>Battlecry</b>: Give your other Mechs +2 Attack.,Hideaki Takamura,,MINION,Metaltooth Leaper,,100,800,20,100,3,MECHANICAL,3,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,1,"""What is a better weapon? The sharp one your enemies expect, or the blunt one they ignore?"" - The Art of Warrior, Chapter 9",EPIC,EXPERT1,true,0,EX1_410,Deal 1 damage to a minion for each Armor you have.,Raymond Swanland,,SPELL,Shield Slam,,400,1600,100,400,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,It's not HER fault you didn't put a spinning saw blade on your horse.,COMMON,TGT,true,,AT_133,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1.",Skan Srisuwan,,MINION,Gadgetzan Jouster,,40,400,5,50,1,,2,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Ironically, the natural enemy of the snobold is THE CANDLE.",COMMON,TGT,true,,AT_093,<b>Spell Damage +1</b>,Matt Dixon,,MINION,Frigid Snobold,,40,400,5,50,2,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,10,Take the time for an evil laugh after you draw this card.,EPIC,EXPERT1,true,0,EX1_279,Deal 10 damage.,Luca Zontini,,SPELL,Pyroblast,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,4,"""If you only use one ability, use Mortal Strike."" - The Warrior Code, Line 6",RARE,EXPERT1,true,0,EX1_408,"Deal 4 damage. If you have 12 or less Health, deal 6 instead.",Zoltan & Gabor,,SPELL,Mortal Strike,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,2,Why did it have to be snakes?,EPIC,EXPERT1,true,,EX1_554,"<b>Secret:</b> When one of your minions is attacked, summon three 1/1 Snakes.",Bernie Kang,,SPELL,Snake Trap,,400,1600,100,400,,,,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,4,Magi of the Kirin Tor were casting Cubes of Cold for many years before Cones came into fashion some 90 years ago.,COMMON,EXPERT1,true,0,EX1_275,"<b>Freeze</b> a minion and the minions next to it, and deal 1 damage to them.",Leo Che,,SPELL,Cone of Cold,,40,400,5,50,,,,FREEZE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,2,A great sniper hits the spot.  Just like a delicious flank of boar. Mmmmm.,COMMON,EXPERT1,true,,EX1_609,"<b>Secret:</b> When your opponent plays a minion, deal 4 damage to it.",Lorenzo Minaca,,SPELL,Snipe,,40,400,5,50,,,,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Tauren Warrior: Champion of Mulgore, Slayer of Quilboar, Rider of Thunderbluff Elevators.",COMMON,EXPERT1,true,,EX1_390,<b>Taunt</b>. <b>Enrage:</b> +3 Attack,Paul Warzecha,,MINION,Tauren Warrior,,40,400,5,50,2,,3,ENRAGED,,,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"The first time they tried to guard Silvermoon against the scourge, it didn’t go so well…",COMMON,EXPERT1,true,,EX1_023,<b>Divine Shield</b>,Phroilan Gardner,,MINION,Silvermoon Guardian,,40,400,5,50,3,,3,DIVINE_SHIELD,,,,HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,6,"""I think I'll just nap under these trees. Wait... AAAAAHHH!"" - Blinkfizz, the Unfortunate Gnome",EPIC,EXPERT1,true,,EX1_571,Summon three 2/2 Treants with <b>Charge</b> that die at the end of the turn.,Trevor Jacobs,,SPELL,Force of Nature,,400,1600,100,400,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,,,FREE,CORE,true,,HERO_06,,,,HERO,Malfurion Stormrage,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIEST,3,"If you miss, it leaves a lightning-bolt-shaped scar on your target.",COMMON,CORE,true,0,EX1_622,Destroy a minion with an Attack of 5 or more.,Raymond Swanland,Unlocked at Level 43.,SPELL,Shadow Word: Death,Unlocked at Level 8.,,,,,,,,,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"""Half of this class will not graduate… since they'll have been turned to chickens."" - Tinkmaster Overspark, teaching Gizmos 101.",FREE,CORE,true,,EX1_015,<b>Battlecry:</b> Draw a card.,Karl Richardson,Unlocked at Druid Level 59.,MINION,Novice Engineer,,,,,,1,,1,BATTLECRY,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Clockwork gnomes are always asking what time it is.,COMMON,GVG,true,,GVG_082,<b>Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,Matt Dixon,,MINION,Clockwork Gnome,,40,400,5,50,2,MECHANICAL,1,DEATHRATTLE,,,,,,,PART_003,PART_001,PART_007,PART_006,PART_005,PART_002,PART_004,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"If you love getting your face punched, come to the Grim Guzzler!",RARE,BRM,true,,BRM_019,"Whenever this minion survives damage, summon another Grim Patron.",Bobby Chiu,Can be crafted after defeating The Grim Guzzler in Blackrock Depths.,MINION,Grim Patron,Unlocked by defeating The Grim Guzzler in Blackrock Depths.,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"HATES being called ""the wonder twins"".",LEGENDARY,TGT,true,,AT_131,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",Ben Thompson,,MINION,Eydis Darkbane,,1600,3200,400,1600,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,3,The inventor of the goblin shredder is involved in several patent disputes with the inventor of the soot spewer.,RARE,GVG,true,,GVG_123,<b>Spell Damage +1</b>,Phil Saunders,,MINION,Soot Spewer,,100,800,20,100,3,MECHANICAL,3,,,1,,,,,,,,,,,,Give <b>Spell Damage +2</b>.,,,,,,,,,,,,,,,,,,,,,,,,,
,3,The Silver Hand is the best paladin organization.  The Argent Crusaders are super jealous.,COMMON,TGT,true,,AT_100,<b>Inspire:</b> Summon a 1/1 Silver Hand Recruit.,John Polidora,,MINION,Silver Hand Regent,,40,400,5,50,3,,3,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,His second greatest regret is summoning an evil Firelord who enslaved his entire people.,LEGENDARY,BRM,true,,BRM_028,"At the end of your turn, reduce the Cost of cards in your hand by (1).",Wayne Reynolds,Can be crafted after completing Blackrock Depths.,MINION,Emperor Thaurissan,Unlocked by completing Blackrock Depths.,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,3,"Favored by shaman who study the art of restoration and healing, this spell would feel smug, if it had feelings.",RARE,TGT,true,0,AT_048,"Restore #7 Health. Reveal a minion in each deck. If yours costs more, Restore #14 instead.",Luca Zontini,,SPELL,Healing Wave,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,2,"Apprentices are great for bossing around.  ""Conjure me some mana buns! And a coffee!  Make that a mana coffee!""",COMMON,EXPERT1,true,,EX1_608,Your spells cost (1) less.,Alex Horley Orlandelli,,MINION,Sorcerer's Apprentice,,40,400,5,50,3,,2,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,4,Hee hee!  Look at his cute little feet.,COMMON,TGT,true,,AT_076,<b>Inspire:</b> Summon a random Murloc.,Sam Nielson,,MINION,Murloc Knight,,40,400,5,50,3,MURLOC,4,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,1,"There's something about this strike that just feels off.  Sinister, even.",FREE,CORE,true,,CS2_075,Deal 3 damage to the enemy hero.,Frank Cho,Unlocked at Level 15.,SPELL,Sinister Strike,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,6,"""THEY'RE EVERYWHERE GET THEM OFF!!!"" - Everyone",RARE,TGT,true,,AT_062,Summon three 1/1 Webspinners.,Skan Srisuwan,,SPELL,Ball of Spiders,,100,800,20,100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,7,Rogues are not good joggers.,COMMON,CORE,true,,CS2_077,Draw 4 cards.,James Zhang,Unlocked at Level 49.,SPELL,Sprint,Unlocked at Level 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"There is a factory in Tanaris for crafting force-tanks, but it only ever made two, because of cost overruns.",COMMON,GVG,true,,GVG_079,<b>Divine Shield</b>,Nutchapol Thitinunthakorn,,MINION,Force-Tank MAX,,40,400,5,50,7,MECHANICAL,7,DIVINE_SHIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Someone called her a Rhinorider, and she's NOT HAPPY.",EPIC,TGT,true,,AT_099,<b>Inspire:</b> Summon a 3/5 War Kodo.,Ben Wootten,,MINION,Kodorider,,400,1600,100,400,3,,5,INSPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,4,Hey!  Moon!  Can I have some mana crystals?,EPIC,TGT,true,,AT_043,Gain 10 Mana Crystals. Discard your hand.,Christopher Moeller,,SPELL,Astral Communion,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"If you don't pay attention, you may be turned into a pig.  And then you get your name on the board.",RARE,EXPERT1,true,,NEW1_026,"Whenever you cast a spell, summon a 1/1 Violet Apprentice.",James Ryman,,MINION,Violet Teacher,,100,800,20,100,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"When Deathwing assaulted the capital, this soldier was the only member of his squad to survive. Now he's all bitter and stuff.",COMMON,CORE,true,,CS2_222,Your other minions have +1/+1.,Doug Alexander,Unlocked at Paladin Level 59.,MINION,Stormwind Champion,,,,,,6,,6,AURA,,,,ALLIANCE,,,,,,,,,,,For the Alliance!,,,,,,,,,,,,,,,,,,,,,,,,
,3,"When he saves enough plunder, he's going to commission an enormous captain's hat.  He has hat envy.",EPIC,EXPERT1,true,,NEW1_027,Your other Pirates have +1/+1.,Ken Steacy,,MINION,Southsea Captain,,400,1600,100,400,3,PIRATE,3,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK,7,"They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.",COMMON,TGT,true,,AT_020,,Anton Zemskov,,MINION,Fearsome Doomguard,,40,400,5,50,6,DEMON,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,5,He never sleeps.  Not even in the mighty jungle.,RARE,GVG,true,,GVG_046,<b>Taunt</b>. <b>Battlecry:</b> Gain +1 Attack for each other Beast you have.,Seamus Gallagher,,MINION,King of Beasts,,100,800,20,100,2,BEAST,6,BATTLECRY,,,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,6,"He may sound surly and antisocial, but he's actually just really shy.",EPIC,TGT,true,,AT_079,<b>Battlecry:</b> Put one of each <b>Secret</b> from your deck into the battlefield.,Zoltan Boros,,MINION,Mysterious Challenger,,400,1600,100,400,6,,6,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,3,"I wouldn't say I LOVE knives, but I'm definitely a fan.",COMMON,CORE,true,,EX1_129,Deal 1 damage to all enemy minions. Draw a card.,Andrew Robinson,Unlocked at Level 29.,SPELL,Fan of Knives,Unlocked at Level 4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,2,The talk around the Ratchet Inn is that this card is too good and should be a Legendary.,COMMON,EXPERT1,true,,EX1_154,<b>Choose One</b> - Deal 3 damage to a minion; or 1 damage and draw a card.,Raymond Swanland,,SPELL,Wrath,,40,400,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,2,Not to be confused with Jim of the Wild.,FREE,CORE,true,0,CS2_009,Give a minion <b>Taunt</b> and +2/+2.<i> (+2 Attack/+2 Health)</i>,Brad Vancata,Unlocked at Level 28.,SPELL,Mark of the Wild,Unlocked at Level 1.,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Volcanic Drakes breathe lava instead of fire. The antacid vendor at Thorium Point does a brisk business with them.,COMMON,BRM,true,,BRM_025,Costs (1) less for each minion that died this turn.,Lucas Graciano,Can be crafted after defeating Omnotron Defense System in the Hidden Laboratory.,MINION,Volcanic Drake,Unlocked by defeating Omnotron Defense System in the Hidden Laboratory.,,,,,6,DRAGON,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,The Shades of Naxxramas <i>hate</i> the living. They even have a slur they use to refer them: <i>Livers</i>.,EPIC,NAXX,true,,FP1_005,"<b>Stealth.</b> At the start of your turn, gain +1/+1.",Ittoku Seta,Can be crafted after defeating Kel'Thuzad in the Frostwyrm Lair.,MINION,Shade of Naxxramas,Unlocked by defeating Kel'Thuzad in the Frostwyrm Lair.,,,,,2,,2,STEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Think of them as bullets for your dragon gun.,RARE,BRM,true,,BRM_022,"Whenever this minion takes damage, summon a 2/1 Whelp.",Jaemin Kim,Can be crafted after defeating Rend Blackhand in Blackrock Spire.,MINION,Dragon Egg,Unlocked by defeating Rend Blackhand in Blackrock Spire.,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUID,4,"""Poisonseed Bagel"" is the least popular bagel at McTiggin's Druidic Bagel Emporium.",COMMON,NAXX,true,,FP1_019,Destroy all minions and summon 2/2 Treants to replace them.,Brian Despain,Can be crafted after completing the Druid Class Challenge in Naxxramas.,SPELL,Poison Seeds,Unlocked by completing the Druid Class Challenge in Naxxramas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,2,"It is customary to yell ""Chill out!"" or ""Freeze!"" or ""Ice ice, baby!"" when you play this card.",COMMON,CORE,true,0,CS2_024,Deal 3 damage to a character and <b>Freeze</b> it.,Steve Ellis,Unlocked at Level 40.,SPELL,Frostbolt,Unlocked at Level 2.,,,,,,,,FREEZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,,,EPIC,HERO_SKINS,true,,HERO_05a,,,,HERO,Alleria Windrunner,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALADIN,8,"If you haven't heard the Tirion Fordring theme song, it's because it doesn't exist.",LEGENDARY,EXPERT1,true,,EX1_383,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,Brom,,MINION,Tirion Fordring,,1600,3200,400,1600,6,,6,DEATHRATTLE,,,DIVINE_SHIELD,,,,,,,,,,,,,TAUNT,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,,,FREE,CORE,true,,HERO_03,,,,HERO,Valeera Sanguinar,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"He likes to act like he's in charge, but the silverback matriarch actually runs things.",COMMON,CORE,true,,CS2_127,<b>Taunt</b>,Daren Bader,Unlocked at Warrior Level 53.,MINION,Silverback Patriarch,,,,,,1,BEAST,4,TAUNT,,,,HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"Left head and right head can never agree about what to eat for dinner, so they always end up just eating ramen again.",LEGENDARY,BRM,true,,BRM_031,"Whenever you draw a card, put another copy into your hand.",Todd Lockwood,Can be crafted after completing Blackwing Lair.,MINION,Chromaggus,Unlocked by completing Blackwing Lair.,,,,,6,DRAGON,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"Gazlowe was voted ""Most Likely to Explode"" in high school.",LEGENDARY,GVG,true,,GVG_117,"Whenever you cast a 1-mana spell, add a random Mech to your hand.",Luke Mancini,,MINION,Gazlowe,,1600,3200,400,1600,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHAMAN,2,"If you pay a little extra, you can get it in ""candy-apple red.""",COMMON,GVG,true,,GVG_037,<b>Windfury</b>,Jim Nelson,,MINION,Whirling Zap-o-matic,,40,400,5,50,3,MECHANICAL,2,WINDFURY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,The Frostwolves are locked in combat with the Stormpike Expedition over control of Alterac Valley.  Every attempt at peace-talks has ended with Captain Galvangar killing the mediator.,COMMON,CORE,true,,CS2_226,<b>Battlecry:</b> Gain +1/+1 for each other friendly minion on the battlefield.,James Ryman,Unlocked at Shaman Level 53.,MINION,Frostwolf Warlord,,,,,,4,,4,BATTLECRY,,,,HORDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,1,Spider cocoons are like little piñatas!,COMMON,NAXX,true,,FP1_011,<b>Deathrattle:</b> Add a random Beast card to your hand.,Dan Brereton,Can be crafted after completing the Hunter Class Challenge in Naxxramas.,MINION,Webspinner,Unlocked by completing the Hunter Class Challenge in Naxxramas.,,,,,1,BEAST,1,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,0,Rogue dance troops will sometimes Shadowstep away at the end of a performance.  Crowds love it.,COMMON,EXPERT1,true,0,EX1_144,Return a friendly minion to your hand. It costs (2) less.,Graven Tung,,SPELL,Shadowstep,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
DRUID,7,He gets a discount on the tournament entry fee because he is his own horse.,RARE,TGT,true,,AT_041,"Whenever you summon a Beast, reduce the Cost of this card by (1).",Ralph Horsley,,MINION,Knight of the Wild,,100,800,20,100,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGUE,4,"She's actually a male tauren.  People don't call him ""Master of Disguise"" for nothing.",RARE,EXPERT1,true,,NEW1_014,<b>Battlecry:</b> Give a friendly minion <b>Stealth</b>.,Ron Spencer,,MINION,Master of Disguise,,100,800,20,100,4,,4,BATTLECRY,0,,,,,,,,,,,,,Give <b>Stealth</b>.,,,0,0,0,,,,,,,,,,,,,,,,,,,,
MAGE,4,"Medivh's echo haunts Karazhan, eternally cheating at chess and <i>Hearthstone</i>.",EPIC,GVG,true,,GVG_005,Put a copy of each friendly minion into your hand.,Alex Garner,,SPELL,Echo of Medivh,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGE,1,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.,FREE,CORE,true,,EX1_277,Deal 3 damage randomly split among all enemies.,Warren Mahy,Unlocked at Level 32.,SPELL,Arcane Missiles,Unlocked at Level 1.,,,,,,,,ImmuneToSpellpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIEST,1,It doesn't matter how pious you are.  Everyone needs a good smiting now and again.,FREE,CORE,true,0,CS1_130,Deal 2 damage.,Steve Ellis,Unlocked at Level 23.,SPELL,Holy Smite,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Feugen is sad because everyone likes Stalagg better.,LEGENDARY,NAXX,true,,FP1_015,"<b>Deathrattle:</b> If Stalagg also died this game, summon Thaddius.",Dany Orizio,Can be crafted after completing the Construct Quarter.,MINION,Feugen,Unlocked by completing the Construct Quarter.,,,,,4,,7,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
