name,cnt,frequency,allfrequency,diff
Spellbreaker,78,0.25,0.33,-0.08
Loot Hoarder,77,0.24,0.27,-0.03
Sunwalker,75,0.24,0.22,+0.02
Gnomish Inventor,70,0.22,0.26,-0.04
Oasis Snapjaw,69,0.22,0.17,+0.05
Fen Creeper,68,0.21,0.21,+0.00
Youthful Brewmaster,66,0.21,0.24,-0.03
Earthen Ring Farseer,65,0.20,0.28,-0.08
Ironfur Grizzly,62,0.19,0.19,+0.00
Worgen Infiltrator,58,0.18,0.22,-0.04
Raging Worgen,56,0.18,0.23,-0.05
Frost Elemental,54,0.17,0.16,+0.01
Haunted Creeper,53,0.17,0.11,+0.06
Twilight Drake,52,0.16,0.15,+0.01
Defender of Argus,51,0.16,0.21,-0.05
Violet Teacher,49,0.15,0.13,+0.02
Flare,49,0.15,0.17,-0.02
Sea Giant,48,0.15,0.14,+0.01
Frostwolf Warlord,48,0.15,0.18,-0.03
Emperor Cobra,47,0.15,0.16,-0.01
Snake Trap,46,0.14,0.11,+0.03
Stormwind Knight,42,0.13,0.16,-0.03
Ancient Brewmaster,42,0.13,0.20,-0.07
Snipe,42,0.13,0.17,-0.04
Imp Master,41,0.13,0.13,+0.00
Spiteful Smith,40,0.13,0.16,-0.03
Wolfrider,40,0.13,0.13,+0.00
Mind Control Tech,39,0.12,0.14,-0.02
Bloodsail Raider,36,0.11,0.09,+0.02
Ironbeak Owl,35,0.11,0.16,-0.05
Wild Pyromancer,34,0.11,0.09,+0.02
Razorfen Hunter,33,0.10,0.13,-0.03
Ogre Magi,32,0.10,0.11,-0.01
Leper Gnome,31,0.10,0.10,+0.00
Faceless Manipulator,31,0.10,0.14,-0.04
Acolyte of Pain,31,0.10,0.15,-0.05
Bluegill Warrior,31,0.10,0.12,-0.02
Abusive Sergeant,30,0.09,0.10,-0.01
Flesheating Ghoul,30,0.09,0.18,-0.09
Sunfury Protector,29,0.09,0.10,-0.01
Argent Squire,28,0.09,0.08,+0.01
Stormpike Commando,28,0.09,0.10,-0.01
Darkscale Healer,27,0.08,0.11,-0.03
Reckless Rocketeer,26,0.08,0.09,-0.01
Dragonling Mechanic,26,0.08,0.07,+0.01
Injured Blademaster,26,0.08,0.13,-0.05
Abomination,25,0.08,0.08,+0.00
Misdirection,25,0.08,0.09,-0.01
Novice Engineer,25,0.08,0.08,+0.00
Sludge Belcher,25,0.08,0.07,+0.01
Blood Knight,25,0.08,0.10,-0.02
Arcane Golem,24,0.08,0.08,+0.00
Crazed Alchemist,23,0.07,0.06,+0.01
Gadgetzan Auctioneer,23,0.07,0.09,-0.02
Spectral Knight,22,0.07,0.12,-0.05
Mad Scientist,22,0.07,0.04,+0.03
Questing Adventurer,21,0.07,0.07,+0.00
Big Game Hunter,20,0.06,0.07,-0.01
Stonetusk Boar,20,0.06,0.05,+0.01
Demolisher,18,0.06,0.08,-0.02
Archmage,17,0.05,0.07,-0.02
Lord of the Arena,17,0.05,0.07,-0.02
Gurubashi Berserker,16,0.05,0.08,-0.03
Ravenholdt Assassin,16,0.05,0.09,-0.04
Silvermoon Guardian,16,0.05,0.08,-0.03
Silverback Patriarch,15,0.05,0.05,+0.00
Elven Archer,14,0.04,0.04,+0.00
Ragnaros the Firelord,14,0.04,0.03,+0.01
King Krush,14,0.04,0.04,+0.00
War Golem,14,0.04,0.06,-0.02
Molten Giant,13,0.04,0.07,-0.03
Ironforge Rifleman,12,0.04,0.04,+0.00
Core Hound,12,0.04,0.03,+0.01
Young Priestess,12,0.04,0.04,+0.00
Bestial Wrath,12,0.04,0.03,+0.01
Raid Leader,12,0.04,0.04,+0.00
Murloc Tidehunter,12,0.04,0.03,+0.01
Master Swordsmith,12,0.04,0.04,+0.00
Zombie Chow,11,0.03,0.04,-0.01
Nightblade,10,0.03,0.04,-0.01
Pint-Sized Summoner,10,0.03,0.05,-0.02
Deathlord,10,0.03,0.03,+0.00
Secretkeeper,9,0.03,0.02,+0.01
Booty Bay Bodyguard,9,0.03,0.04,-0.01
Unstable Ghoul,9,0.03,0.03,+0.00
Priestess of Elune,9,0.03,0.03,+0.00
Kobold Geomancer,8,0.03,0.05,-0.02
Dread Corsair,8,0.03,0.02,+0.01
Windfury Harpy,8,0.03,0.03,+0.00
Mana Wraith,8,0.03,0.02,+0.01
Deathwing,8,0.03,0.01,+0.02
Ysera,7,0.02,0.02,+0.00
Mogu'shan Warden,7,0.02,0.04,-0.02
Shade of Naxxramas,6,0.02,0.02,+0.00
Coldlight Oracle,6,0.02,0.01,+0.01
Nerub'ar Weblord,6,0.02,0.01,+0.01
Cairne Bloodhoof,5,0.02,0.02,+0.00
Young Dragonhawk,5,0.02,0.02,+0.00
Bloodsail Corsair,5,0.02,0.02,+0.00
Undertaker,5,0.02,0.02,+0.00
Sylvanas Windrunner,4,0.01,0.02,-0.01
Leeroy Jenkins,4,0.01,0.02,-0.01
Hogger,4,0.01,0.01,+0.00
Murloc Warleader,4,0.01,0.01,+0.00
Frostwolf Grunt,3,0.01,0.02,-0.01
Dancing Swords,3,0.01,0.01,+0.00
Nat Pagle,3,0.01,0.00,+0.01
Nerubian Egg,3,0.01,0.02,-0.01
King Mukla,3,0.01,0.01,+0.00
Southsea Captain,3,0.01,0.01,+0.00
Baron Geddon,3,0.01,0.00,+0.01
Illidan Stormrage,3,0.01,0.01,+0.00
The Beast,3,0.01,0.01,+0.00
Ancient Mage,3,0.01,0.02,-0.01
Kel'Thuzad,2,0.01,0.00,+0.01
Gruul,2,0.01,0.01,+0.00
Wailing Soul,2,0.01,0.01,+0.00
Mana Addict,2,0.01,0.01,+0.00
Dalaran Mage,2,0.01,0.01,+0.00
Voodoo Doctor,2,0.01,0.02,-0.01
Tauren Warrior,2,0.01,0.02,-0.01
Mountain Giant,2,0.01,0.01,+0.00
The Black Knight,2,0.01,0.02,-0.01
Magma Rager,1,0.00,0.00,+0.00
Stalagg,1,0.00,0.00,+0.00
Echoing Ooze,1,0.00,0.01,-0.01
Captain Greenskin,1,0.00,0.00,+0.00
Alexstrasza,1,0.00,0.01,-0.01
Murloc Raider,1,0.00,0.00,+0.00
Murloc Tidecaller,1,0.00,0.00,+0.00
Maexxna,1,0.00,0.00,+0.00
Lightwarden,1,0.00,0.00,+0.00
Thrallmar Farseer,1,0.00,0.02,-0.02
Coldlight Seer,1,0.00,0.00,+0.00
Onyxia,1,0.00,0.01,-0.01
Angry Chicken,1,0.00,0.01,-0.01
Loatheb,1,0.00,0.00,+0.00
