text,type,cost,rarity,set,id,name,playRequirements/REQ_TARGET_TO_PLAY,durability,attack,playerClass,flavor,collectible,artist,howToEarnGolden,howToEarn,dust/0,dust/1,dust/2,dust/3,mechanics/0,race,health,textInPlay,playRequirements/REQ_MINION_TARGET,mechanics/1,entourage/0,entourage/1,entourage/2,entourage/3,faction,spellDamage,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/4,entourage/5,entourage/6,targetingArrowText,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_ENEMY_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MUST_TARGET_TAUNTER,entourage/7,entourage/8,entourage/9,entourage/10,entourage/11,entourage/12,entourage/13,entourage/14,entourage/15,entourage/16,entourage/17,entourage/18,entourage/19,entourage/20,entourage/21,entourage/22,entourage/23,entourage/24,entourage/25,entourage/26,entourage/27,entourage/28,entourage/29,entourage/30,entourage/31,entourage/32,entourage/33,entourage/34,entourage/35,entourage/36,entourage/37,entourage/38,entourage/39,entourage/40,entourage/41,entourage/42,entourage/43,entourage/44,entourage/45,entourage/46,entourage/47,entourage/48,entourage/49,entourage/50,entourage/51,entourage/52,entourage/53,entourage/54,entourage/55,entourage/56,entourage/57,entourage/58,entourage/59,playRequirements/REQ_STEADY_SHOT,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_MINION_OR_ENEMY_HERO,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
"<b>Battlecry:</b> If your opponent has 15 or less Health, gain +3/+3.",MINION,6,COMMON,BRM,BRM_024,Drakonid Crusher,,,6,,"Drakonids were created to have all the bad parts of a dragon in the form of a humaniod. But, like, why?",true,Slawomir Maniak,Can be crafted after defeating Atramedes in the Hidden Laboratory.,Unlocked by defeating Atramedes in the Hidden Laboratory.,,,,,BATTLECRY,DRAGON,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry</b>: Give your other Mechs +2 Attack.,MINION,3,RARE,GVG,GVG_048,Metaltooth Leaper,,,3,HUNTER,Don't leave them out in the rain. In Un'Goro Crater there is a whole colony of rust-tooth leapers.,true,Hideaki Takamura,,,100,800,20,100,BATTLECRY,MECHANICAL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,3,COMMON,BRM,BRM_010t,Druid of the Flame,,,5,DRUID,,,Ben Zhang,,,,,,,,BEAST,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt</b>,MINION,2,,TB,BRMC_99e,Rock Elemental,,,2,,,,,,,,,,,TAUNT,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Put two minions from your deck and one from your opponent's into the battlefield.",HERO_POWER,0,,BRM,BRMA01_2H,Pile On!,,,,,,,,,,,,,,AI_MUST_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1/+1.,ENCHANTMENT,,,TGT,AT_133e,Victory!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,3,,TGT,AT_036t,Nerubian,,,4,ROGUE,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When the game starts, this card climbs to the top of the deck.",MINION,4,LEGENDARY,CREDITS,CRED_31,Jeremy Cranford,,,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This minion has +4/+4, but will die a horrible death at the end of the turn.",ENCHANTMENT,,,EXPERT1,EX1_316e,Power Overwhelming,,,,WARLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While this is in your hand, take 3 damage at the start of your turn.",SPELL,3,,BRM,BRMA12_3H,Brood Affliction: Red,,,,,,,,,,,,,,EVIL_GLOW,,,,,ImmuneToSpellpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA13_3H,Nefarian,,,,,,,,,,,,,,,,30,,,,BRMA13_8,BRMA13_7,BRMA13_6,BRMA13_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force your opponent to concede.,SPELL,0,,CHEAT,XXX_029,Opponent Concede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2/+2.,ENCHANTMENT,,,GVG,GVG_036e,Powered,,,,SHAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal 1 damage to a minion for each Armor you have.,SPELL,1,EPIC,EXPERT1,EX1_410,Shield Slam,0,,,WARRIOR,"""What is a better weapon? The sharp one your enemies expect, or the blunt one they ignore?"" - The Art of Warrior, Chapter 9",true,Raymond Swanland,,,400,1600,100,400,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At the end of your turn, give a random minion +1/+1.",MINION,1,COMMON,PROMO,Mekka3,Emboldener 3000,,,0,,,,,,,,,,,,MECHANICAL,4,,,,,,,,ALLIANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Going second makes your first minion stronger.,ENCHANTMENT,,,CORE,GAME_003,Coin's Vengeance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<i>This is Kel'Thuzad's kitty.</i>,MINION,0,LEGENDARY,NAXX,NAX15_05,Mr. Bigglesworth,,,1,,,,,,,,,,,InvisibleDeathrattle,BEAST,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry:</b> Summon three 1/1 Chinchillas.,MINION,4,LEGENDARY,CREDITS,CRED_37,Ricardo Robaina,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1.",MINION,1,COMMON,TGT,AT_133,Gadgetzan Jouster,,,1,,It's not HER fault you didn't put a spinning saw blade on your horse.,true,Skan Srisuwan,,,40,400,5,50,BATTLECRY,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Murloc has +1 Attack.,ENCHANTMENT,,,CORE,EX1_508o,Mlarggragllabl!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get the AI ready for testing.,MINION,0,,CHEAT,XXX_099,AI Helper Buddy,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Spell Damage +1</b>,MINION,4,COMMON,TGT,AT_093,Frigid Snobold,,,2,,"Ironically, the natural enemy of the snobold is THE CANDLE.",true,Matt Dixon,,,40,400,5,50,,,6,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA11_1,Vaelastrasz the Corrupt,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Increased Attack.,ENCHANTMENT,,,EXPERT1,NEW1_037e,Equipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain 2 Mana Crystals.,SPELL,0,,EXPERT1,EX1_164a,Nourish,,,,DRUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $10 damage.,SPELL,10,EPIC,EXPERT1,EX1_279,Pyroblast,0,,,MAGE,Take the time for an evil laugh after you draw this card.,true,Luca Zontini,,,400,1600,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deal $4 damage. If you have 12 or less Health, deal $6 instead.",SPELL,4,RARE,EXPERT1,EX1_408,Mortal Strike,0,,,WARRIOR,"""If you only use one ability, use Mortal Strike."" - The Warrior Code, Line 6",true,Zoltan & Gabor,,,100,800,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health changed to 1.,ENCHANTMENT,,,EXPERT1,EX1_619e,Equality,,,,PALADIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MINION,1,,BRM,BRM_006t,Imp,,,1,WARLOCK,,,,,,,,,,,DEMON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Spell Damage +1</b>,MINION,0,,TGT,AT_132_SHAMANd,Wrath of Air Totem,,,0,SHAMAN,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $5 damage to a random enemy. Gain 5 Armor.,SPELL,4,,BRM,BRMA07_3,TIME FOR SMASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Secret:</b> When one of your minions is attacked, summon three 1/1 Snakes.",SPELL,2,EPIC,EXPERT1,EX1_554,Snake Trap,,,,HUNTER,Why did it have to be snakes?,true,Bernie Kang,,,400,1600,100,400,SECRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Freeze</b> a minion and the minions next to it, and deal $1 damage to them.",SPELL,4,COMMON,EXPERT1,EX1_275,Cone of Cold,0,,,MAGE,Magi of the Kirin Tor were casting Cubes of Cold for many years before Cones came into fashion some 90 years ago.,true,Leo Che,,,40,400,5,50,FREEZE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+2 Attack this turn.,ENCHANTMENT,,,EXPERT1,EX1_046e,Tempered,,,,,,,,,,,,,,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt</b>,MINION,1,,BRM,BRMA09_3t,Old Horde Orc,,,1,,,,,,,,,,,TAUNT,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transform into a 2/5 minion.,SPELL,0,COMMON,BRM,BRM_010b,Fire Hawk Form,,,,DRUID,,,,,,,,,,,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
