name,cnt,frequency,allfrequency,diff
Loatheb,1,0.00,0.00,+0.00
Loot Hoarder,208,0.31,0.27,+0.04
Lord of the Arena,49,0.07,0.08,-0.01
Mad Bomber,246,0.36,0.32,+0.04
Mad Scientist,2,0.00,0.00,+0.00
Maexxna,1,0.00,0.00,+0.00
Magma Rager,2,0.00,0.00,+0.00
Malygos,2,0.00,0.00,+0.00
Mana Addict,9,0.01,0.02,-0.01
Mana Wraith,19,0.03,0.02,+0.01
Master Swordsmith,22,0.03,0.05,-0.02
Master of Disguise,116,0.17,0.22,-0.05
Mind Control Tech,83,0.12,0.16,-0.04
Mogu'shan Warden,19,0.03,0.04,-0.01
Molten Giant,107,0.16,0.16,+0.00
Mountain Giant,9,0.01,0.02,-0.01
Murloc Raider,2,0.00,0.01,-0.01
Murloc Tidecaller,2,0.00,0.01,-0.01
Murloc Tidehunter,34,0.05,0.04,+0.01
Murloc Warleader,14,0.02,0.02,+0.00
Nerub'ar Weblord,9,0.01,0.01,+0.00
Nerubian Egg,8,0.01,0.02,-0.01
Nightblade,26,0.04,0.04,+0.00
Novice Engineer,76,0.11,0.10,+0.01
Oasis Snapjaw,50,0.07,0.09,-0.02
Ogre Magi,137,0.20,0.20,+0.00
Onyxia,16,0.02,0.01,+0.01
Patient Assassin,69,0.10,0.12,-0.02
Perdition's Blade,258,0.38,0.44,-0.06
Pint-Sized Summoner,26,0.04,0.05,-0.01
Preparation,9,0.01,0.02,-0.01
Priestess of Elune,30,0.04,0.05,-0.01
Questing Adventurer,84,0.12,0.11,+0.01
Raging Worgen,179,0.27,0.27,+0.00
Ragnaros the Firelord,33,0.05,0.03,+0.02
Raid Leader,16,0.02,0.03,-0.01
Ravenholdt Assassin,47,0.07,0.09,-0.02
Razorfen Hunter,97,0.14,0.13,+0.01
Reckless Rocketeer,71,0.11,0.10,+0.01
River Crocolisk,70,0.10,0.11,-0.01
SI:7 Agent,539,0.80,0.57,+0.23
Sap,116,0.17,0.15,+0.02
Scarlet Crusader,282,0.42,0.40,+0.02
Sea Giant,115,0.17,0.17,+0.00
Sen'jin Shieldmasta,338,0.50,0.43,+0.07
Shade of Naxxramas,14,0.02,0.02,+0.00
Shadowstep,77,0.11,0.20,-0.09
Shattered Sun Cleric,268,0.40,0.42,-0.02
Shieldbearer,8,0.01,0.01,+0.00
Shiv,325,0.48,0.49,-0.01
Silver Hand Knight,242,0.36,0.36,+0.00
Silverback Patriarch,5,0.01,0.01,+0.00
Silvermoon Guardian,59,0.09,0.11,-0.02
Sinister Strike,8,0.01,0.02,-0.01
Sludge Belcher,55,0.08,0.07,+0.01
Southsea Captain,16,0.02,0.03,-0.01
Southsea Deckhand,77,0.11,0.11,+0.00
Spectral Knight,41,0.06,0.11,-0.05
Spellbreaker,217,0.32,0.34,-0.02
Spiteful Smith,282,0.42,0.41,+0.01
Sprint,357,0.53,0.49,+0.04
Stampeding Kodo,144,0.21,0.21,+0.00
Stoneskin Gargoyle,1,0.00,0.01,-0.01
Stonetusk Boar,5,0.01,0.01,+0.00
Stormpike Commando,74,0.11,0.12,-0.01
Stormwind Champion,227,0.34,0.29,+0.05
Stormwind Knight,149,0.22,0.20,+0.02
Stranglethorn Tiger,166,0.25,0.25,+0.00
Sunfury Protector,64,0.09,0.10,-0.01
Sunwalker,200,0.30,0.23,+0.07
Sylvanas Windrunner,13,0.02,0.02,+0.00
Tauren Warrior,11,0.02,0.03,-0.01
The Black Knight,21,0.03,0.02,+0.01
Thrallmar Farseer,13,0.02,0.03,-0.01
Twilight Drake,135,0.20,0.19,+0.01
Undertaker,3,0.00,0.02,-0.02
Unstable Ghoul,18,0.03,0.04,-0.01
Vanish,5,0.01,0.03,-0.02
Venture Co. Mercenary,227,0.34,0.34,+0.00
Violet Teacher,152,0.23,0.18,+0.05
Voodoo Doctor,19,0.03,0.02,+0.01
Wailing Soul,5,0.01,0.01,+0.00
War Golem,60,0.09,0.10,-0.01
Wild Pyromancer,72,0.11,0.12,-0.01
Windfury Harpy,19,0.03,0.04,-0.01
Wisp,3,0.00,0.00,+0.00
Wolfrider,100,0.15,0.15,+0.00
Worgen Infiltrator,135,0.20,0.25,-0.05
Young Priestess,23,0.03,0.03,+0.00
Youthful Brewmaster,145,0.22,0.28,-0.06
Ysera,12,0.02,0.02,+0.00
Zombie Chow,41,0.06,0.05,+0.01
