name,cnt,frequency,allfrequency,diff
Spectral Knight,97,0.10,0.11,-0.01
Holy Wrath,96,0.10,0.09,+0.01
Archmage,93,0.09,0.12,-0.03
Oasis Snapjaw,88,0.09,0.10,-0.01
Demolisher,87,0.09,0.11,-0.02
Redemption,84,0.08,0.10,-0.02
Divine Favor,82,0.08,0.10,-0.02
Elven Archer,80,0.08,0.06,+0.02
Zombie Chow,80,0.08,0.06,+0.02
Ravenholdt Assassin,80,0.08,0.10,-0.02
Kobold Geomancer,79,0.08,0.10,-0.02
Gadgetzan Auctioneer,76,0.08,0.10,-0.02
Leper Gnome,73,0.07,0.09,-0.02
Tirion Fordring,73,0.07,0.05,+0.02
Blood Knight,72,0.07,0.09,-0.02
Sludge Belcher,72,0.07,0.07,+0.00
Faceless Manipulator,72,0.07,0.08,-0.01
Abomination,68,0.07,0.09,-0.02
Murloc Tidehunter,66,0.07,0.05,+0.02
Crazed Alchemist,64,0.06,0.08,-0.02
Questing Adventurer,61,0.06,0.09,-0.03
Dread Corsair,58,0.06,0.06,+0.00
Pint-Sized Summoner,56,0.06,0.07,-0.01
Master Swordsmith,51,0.05,0.07,-0.02
Raid Leader,51,0.05,0.06,-0.01
Booty Bay Bodyguard,50,0.05,0.08,-0.03
Windfury Harpy,48,0.05,0.06,-0.01
Big Game Hunter,47,0.05,0.05,+0.00
Holy Light,42,0.04,0.06,-0.02
Mad Scientist,42,0.04,0.03,+0.01
Deathlord,42,0.04,0.04,+0.00
Arcane Golem,39,0.04,0.06,-0.02
Blessed Champion,39,0.04,0.06,-0.02
Southsea Deckhand,36,0.04,0.03,+0.01
Priestess of Elune,35,0.03,0.06,-0.03
Nightblade,35,0.03,0.05,-0.02
Repentance,34,0.03,0.05,-0.02
Frostwolf Grunt,34,0.03,0.04,-0.01
Young Priestess,33,0.03,0.05,-0.02
Ragnaros the Firelord,33,0.03,0.02,+0.01
Tauren Warrior,32,0.03,0.05,-0.02
Unstable Ghoul,30,0.03,0.03,+0.00
Cairne Bloodhoof,29,0.03,0.02,+0.01
Molten Giant,28,0.03,0.03,+0.00
Nerubian Egg,27,0.03,0.02,+0.01
Mogu'shan Warden,27,0.03,0.04,-0.01
Voodoo Doctor,26,0.03,0.03,+0.00
Thrallmar Farseer,26,0.03,0.04,-0.01
Ysera,26,0.03,0.02,+0.01
The Black Knight,22,0.02,0.02,+0.00
Onyxia,22,0.02,0.01,+0.01
Mana Wraith,21,0.02,0.02,+0.00
Deathwing,20,0.02,0.01,+0.01
Sylvanas Windrunner,19,0.02,0.02,+0.00
Silverback Patriarch,19,0.02,0.02,+0.00
Ancient Mage,17,0.02,0.02,+0.00
Bloodsail Corsair,15,0.01,0.02,-0.01
Dancing Swords,13,0.01,0.02,-0.01
Undertaker,12,0.01,0.01,+0.00
Southsea Captain,12,0.01,0.01,+0.00
Dalaran Mage,12,0.01,0.02,-0.01
Shieldbearer,11,0.01,0.02,-0.01
Lightwarden,11,0.01,0.01,+0.00
Hogger,10,0.01,0.01,+0.00
Murloc Raider,10,0.01,0.01,+0.00
Nerub'ar Weblord,10,0.01,0.01,+0.00
Core Hound,10,0.01,0.02,-0.01
Stoneskin Gargoyle,9,0.01,0.01,+0.00
Alexstrasza,9,0.01,0.01,+0.00
Shade of Naxxramas,9,0.01,0.01,+0.00
Stonetusk Boar,9,0.01,0.01,+0.00
Wailing Soul,8,0.01,0.01,+0.00
Goldshire Footman,8,0.01,0.01,+0.00
Gruul,8,0.01,0.01,+0.00
Murloc Warleader,8,0.01,0.01,+0.00
Illidan Stormrage,7,0.01,0.01,+0.00
Secretkeeper,7,0.01,0.01,+0.00
Bloodmage Thalnos,6,0.01,0.00,+0.01
Echoing Ooze,6,0.01,0.01,+0.00
Leeroy Jenkins,6,0.01,0.01,+0.00
Alarm-o-Bot,6,0.01,0.01,+0.00
Mana Addict,6,0.01,0.01,+0.00
Baron Geddon,5,0.00,0.00,+0.00
Ancient Watcher,5,0.00,0.01,-0.01
Maexxna,4,0.00,0.00,+0.00
Harrison Jones,4,0.00,0.01,-0.01
Eye for an Eye,4,0.00,0.01,-0.01
Mountain Giant,4,0.00,0.01,-0.01
Murloc Tidecaller,4,0.00,0.00,+0.00
Coldlight Oracle,3,0.00,0.01,-0.01
Young Dragonhawk,3,0.00,0.01,-0.01
Tinkmaster Overspark,3,0.00,0.00,+0.00
Nat Pagle,3,0.00,0.00,+0.00
Angry Chicken,2,0.00,0.00,+0.00
The Beast,2,0.00,0.00,+0.00
Feugen,2,0.00,0.00,+0.00
Loatheb,2,0.00,0.00,+0.00
Captain Greenskin,2,0.00,0.00,+0.00
King Mukla,1,0.00,0.00,+0.00
Wisp,1,0.00,0.00,+0.00
Magma Rager,1,0.00,0.00,+0.00
Millhouse Manastorm,1,0.00,0.00,+0.00
Nozdormu,1,0.00,0.00,+0.00
Coldlight Seer,1,0.00,0.00,+0.00
